epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.2033,0.72173,1.31704,4.768,0.9362,0,0,0,0,0,0,0,0,0.50968,1.30804,4.37979,0.97828,0.09901,1e-05,1e-05
2,9.4553,0.57771,1.328,4.75929,0.91976,0,0,0,0,0,0,0,0,0.52397,1.31892,4.37018,0.98268,0.0970297,2.9703e-05,2.9703e-05
3,9.81246,0.66602,1.55196,5.06256,0.89901,0,0,0,0,0,0,0,0,0.47866,189.287,4.19067,0.97065,0.095049,4.901e-05,4.901e-05
4,10.1004,0.75367,4.85864,4.60779,0.91921,0,0,0,0,0,0,0,0,0.45135,180.623,4.17438,0.94824,0.0930679,6.7921e-05,6.7921e-05
5,11.8081,0.73098,1.85401,4.39204,0.93151,0.00416,0.9,0.29884,0.18256,0.00323,0.7,0.2341,0.08381,0.84352,24.785,3.8758,1.13045,0.0910864,8.6436e-05,8.6436e-05
6,13.9679,0.75817,0.79296,3.79153,0.90277,0.00407,1,0.35193,0.17627,0.00041,0.1,0.01919,0.00192,1.37372,5.75268,3.58068,1.33998,0.0891046,0.000104555,0.000104555
7,16.2897,0.59658,0.70724,2.96859,0.83355,0.00337,0.9,0.10534,0.02617,0,0,0,0,1.86327,8.80698,3.75547,1.76362,0.0871223,0.000122278,0.000122278
8,18.4655,0.69256,0.78585,2.23737,0.81189,0.002,0.5,0.00266,0.00062,0,0,0,0,2.35857,18.1894,3.66739,2.23866,0.0851396,0.000139605,0.000139605
9,20.3027,0.51115,0.80806,1.53198,0.82605,0.00175,0.4,0.00162,0.00033,0,0,0,0,2.43586,18.9694,3.70887,2.32935,0.0831565,0.000156536,0.000156536
10,22.1606,0.66533,0.68123,1.63293,0.86692,0.00225,0.5,0.00236,0.00038,0,0,0,0,2.35171,17.9778,3.80111,2.24781,0.0811731,0.000173071,0.000173071
11,23.9762,0.52648,0.54046,1.53068,0.7632,0.00183,0.4,0.0018,0.00041,0,0,0,0,2.11765,15.6038,3.81338,2.1252,0.0791892,0.00018921,0.00018921
12,25.7468,0.62728,0.67105,1.44542,0.8302,0.00372,0.8,0.00466,0.00102,0,0,0,0,1.84279,14.5644,3.80423,1.98634,0.077205,0.000204953,0.000204953
13,27.3478,0.62405,0.54396,1.52379,0.77914,0.0041,0.8,0.00655,0.00201,0,0,0,0,1.74018,13.0891,3.786,1.92267,0.0752203,0.0002203,0.0002203
14,28.7006,0.677,0.59518,1.62637,0.81299,0.00488,0.8,0.00849,0.00341,0.00061,0.1,0.00044,8e-05,1.55924,13.7135,3.77566,1.75499,0.0732353,0.000235251,0.000235251
15,29.9265,0.62936,0.46633,1.34666,0.80915,0.00356,0.5,0.00567,0.0018,0.00071,0.1,0.00071,0.00014,1.44462,12.105,3.80989,1.6748,0.0712498,0.000249806,0.000249806
